ИНН;Краткое наименование;Город;Регион;Должность руководителя;Фамилия руководителя;Имя руководителя;Отчество руководителя;Сумма генподряда;Статус в СРО;Статус торгов;Членские взносы;Страхвка;Проверка;Допуск выдан;Юридический адрес;Фактический адрес;Телефон;Факс;E-mail;Веб-сайт;Полное наименование;ОГРН;КПП;Номер свидетельства;Виды работ
"""4348000110""";ОАО «ПРС фирма «АРСО» ;Киров;;Генеральный директор;Елисов;Сергей;Вадимович;;Действует;;;27.02.2015;;22.08.2013;610002, г. Киров, ул. Орловская, д.48а;610002, г. Киров, ул. Орловская, д.48а;(8332) 673410;673410;arso@firma.kirov.ru;;«Проектно-реставрационно-строительная фирма «АРСО»;"""1024301323144""";;"""0001.7-2013-4348000110-С-81""";
"""4347030908""";ОАО «Кирово-Чепецкое управление строительства» ;Киров;;Генеральный директор;Кочуров;Сергей;Иванович;;Действует;;;11.05.2015;;22.08.2013;610014, г. Киров, ул.Производственная, д.21;610014, г. Киров, ул.Производственная, д.21;(83361) 646791;2-20-57;kchus@kchus.com;;«Кирово-Чепецкое управление строительства»;"""1034316501647""";;"""0002.7-2013-4347030908-С-81""";
"""4346041022""";ООО фирма «Маяковская» ;Киров;;Генеральный директор;Сергеев;Дмитрий;Валерьевич;;Действует;;;31.12.2014;;26.09.2013;610017, г.Киров, ул.М. Гвардии, д.84/1;610017, г.Киров, ул.М. Гвардии, д.84/1;(8332) 405333;;Mayak97@mail.ru;547490;фирма «Маяковская»;"""1024301306732""";;"""0003.6-2013-4346041022-С-81""";
"""4347030619""";ООО ПСП «Энергострой» ;Киров;;Генеральный директор;Седых;Анатолий;Иванович;;Действует;;;25.02.2015;;31.01.2013;610044, г. Киров, ул. Ломоносова, д.11;610044, г. Киров, ул. Ломоносова, д.11;(8332) 538303;538310;energostroykirov@gmail.com;;производственно-строительное предприятие «Энергострой»;"""1024301351337""";;"""0004.6-2013-4347030619-С-81""";
"""4348034623""";ООО фирма «Градостроитель» ;Киров;;Директор;Касаткин;Петр;Андреевич;;Действует;;;25.03.2015;;22.08.2013;610017, г.Киров, ул.М. Гвардии, д.48а;610017, г.Киров, ул.М. Гвардии, д.48а;(8332) 371377;675865;gradstr@nm.ru;;фирма «Градостроитель»;"""1024301319250""";;"""0005.6-2013-4348034623-С-81""";
"""4345058062""";ООО «УКС ВМП «АВИТЕК» ;Киров;;Директор;Лопаткин;Алексей;Михайлович;;Действует;;;24.07.2015;;27.03.2014;610011, г.Киров, ул.Новаторов, д.13а;610011, г.Киров, ул.Новаторов, д.13а;(8332) 235696 740299;;office@uksavitek.ru;http://www.uksavitek.ru;«Управление капитального строительства Вятского машиностроительного предприятия «АВИТЕК»;"""1034316573532""";;"""0006.7-2014-4345058062-С-81""";
"""4345059524""";ООО «Кировжилстрой» ;Киров;;Директор;Шапкин;Виктор;Васильевич;;Действует;;;27.01.2015;;22.08.2013;610005, г.Киров, ул.Советская, д.67а;610005, г.Киров, ул.Советская, д.67а;(8332) 361336;361346;vjspochta@mail.ru;;«Кировжилстрой»;"""1034316576744""";;"""0007.6-2013-4345059524-С-81""";
"""4345014731""";ООО «Бигроус» ;Киров;;Директор;Киселева;Людмила;Борисовна;;Действует;;;15.10.2014;;26.06.2014;610046, г.Киров, проезд Заготзерно, д.8;610046, г.Киров, проезд Заготзерно, д.8;(8332) 625252;625252;bigrousstroy2004@mail.ru;;«Бигроус»;"""1024301332516""";;"""0008.9-2014-4345014731-С-81""";
"""4346054261""";ООО ПКФ «Нестеров» ;Киров;;Директор;Нестеров;Павел;Иванович;;Действует;;;06.03.2015;;01.11.2012;610016, г.Киров, ул.Уральская, д.7;610016, г.Киров, ул.Уральская, д.7;(8332) 585055;;NFN-GSN@rambler.ru;;производственно-коммерческая фирма «Нестеров»;"""1024301333209""";;"""0009.3-2012-4346054261-С-81""";
"""4348027055""";ООО ТК «АСПЕКТ-СЕТИ» ;Киров;;Генеральный директор;Москвин;Эдуард;Валентинович;;Действует;;;31.12.2014;;20.02.2014;610017, г.Киров, ул.М. Гвардии, д.45;610017, г.Киров, ул.М. Гвардии, д.45;(8332) 30-13-11;;moskvin@aspectspb.ru info@aspectspb.ru;www.aspectspb.ru;Техническая компания «АСПЕКТ-СЕТИ»;"""1024301344935""";;"""0010.7-2014-4348027055-С-81""";
