ИНН;Краткое наименование;Город;Регион;Должность руководителя;Фамилия руководителя;Имя руководителя;Отчество руководителя;Сумма генподряда;Статус в СРО;Статус торгов;Членские взносы;Страхвка;Проверка;Допуск выдан;Юридический адрес;Фактический адрес;Телефон;Факс;E-mail;Веб-сайт;Полное наименование;ОГРН;КПП;Номер свидетельства;Виды работ
"""3017040543""";ООО «Астраханский Автомост» ;Астрахань;;Генеральный директор;Солопов;Вячеслав;Анатольевич;;Действует;;;07.02.2015;;06.06.2013;414018, Астраханская обл, Астрахань г, Ульянова ул, дом № 78;414018, Астраханская обл, Астрахань г, Ульянова ул, дом № 78;35-13-55;35-13-55;aamost@bk.ru;;Общество с ограниченной ответственностью «Строительная компания «Астраханский автомост»;"""1043001826229""";;"""0002.06-2009-3017040543-С-128""";
"""301602757895""";ИП Стефанов Игорь Георгиевич ;Астрахань;;;;;;;Действует;;;07.02.2015;;11.11.2010;;;301749;;ooolarsen@mail.ru;;Индивидуальный предприниматель Стефанов Игорь Георгиевич;"""304301628000057""";;"""0003.02-2009-301602757895-С-128""";
"""3017003100""";ОАО «Астраханьгазсервис» ;Астрахань;;Генеральный директор;Сорокин;Сергей;Николаевич;;Действует;;;07.02.2015;;09.12.2010;414021, Астраханская обл, Астрахань г, Боевая ул, дом № 124;414021, Астраханская обл, Астрахань г, Боевая ул, дом № 124;(88512) 301443,301781,;30-17-81;gazservice@astranet.ru;;Открытое акционерное общество «Астраханьгазсервис»;"""1033000804935""";;"""0004.02-2009-3017003100-С-128""";
"""3009010802""";ООО «Связьстрой-2» ;Астрахань;;Директор;Чмырь;Сергей;Степанович;;Действует;;;07.02.2015;;05.03.2013;416463, Астраханская обл, Приволжский р-н, Карагали с, Зеленая ул, дом № 2;416463, Астраханская обл, Приволжский р-н, Карагали с, Зеленая ул, дом № 2;(8512) 305592,305585,;30-55-92;pmkcbc2@astranet.ru;;Общество с ограниченной ответственностью «Передвижная механизированная колонна «Связьстрой - 2»;"""1033000805090""";;"""0005.06-2009-3009010802-С-128""";
"""3017032863""";ООО «Каналводстрой» ;Астрахань;;Генеральный директор;Григоршев;Павел;Геннадьевич;;Действует;;;07.02.2015;;02.06.2014;414011, Астраханская обл, Астрахань г, Славянская /Рыбинская ул, дом № 1/12;414011, Астраханская обл, Астрахань г, Славянская /Рыбинская ул, дом № 1/12;398271,398070,;39-80-70;kvs30rus@yandex.ru;;Общество с ограниченной ответственностью «Производственно-коммерческая фирма «Каналводстрой»;"""1023000829334""";;"""0008.10-2009-3017032863-С-128""";
"""3016026049""";ОАО «Нефтехиммонтаж» ;Астрахань;;Генеральный директор;Шатунов;Владимир;Викторович;;Действует;;;07.02.2015;;13.05.2011;414056, Астраханская обл, Астрахань г, Московская ул, дом № 96;414056, Астраханская обл, Астрахань г, Московская ул, дом № 96;541487 252774,;;nhm@listt.ru;;Открытое акционерное общество «Нефтехиммонтаж»;"""1023000817014""";;"""0010.08-2009-3016026049-С-128""";
"""3015027787""";ООО «Дерди» ;Астрахань;;Директор;Гамзатов;Ахмед;Злобудинович;;Действует;;;07.02.2015;;07.10.2014;414022, г. Астрахань, ул.Н.Островского, дом № 148, литер У,оф.301,304;414022, г. Астрахань, ул.Н.Островского, дом № 148, литер У,оф.301,304;(851-2) 61-17-88;47-85-35;stroy@teply-dom.ru;;Общество с ограниченной ответственностью «Производственно-коммерческая фирма «Дерди»;"""1023000871651""";;"""0011.06-2009-3015027787-С-128""";
"""3017032609""";ООО «ИНВЕСТ-СТРОЙ» ;Астрахань;;Директор;Пустовалов;Алексей;Александрович;;Действует;;;30.09.2014;;11.03.2011;414028, Астраханская обл, Астрахань г, Адмирала Нахимова ул, дом № 70 В;414028, Астраханская обл, Астрахань г, Адмирала Нахимова ул, дом № 70 В;(851-2) 38-73-94, 30-57-80;;instroj@yandex.ru;;Общество с ограниченной ответственностью «Строительная компания «ИНВЕСТ-СТРОЙ»;"""1023000837397""";;"""0012.04-2009-3017032609-С-128""";
"""3015042714""";ООО «Электротехническая компания» ;Астрахань;;Генеральный директор;Назаров;Дмитрий;Владимирович;;Действует;;;07.02.2015;;10.04.2014;414000, Астраханская обл, Астрахань г, Свердлова ул, дом № 47;414000, Астраханская обл, Астрахань г, Свердлова ул, дом № 47;39-88-38 398343 363341 ,45-05-42 пто;;pto_elko_ast@mail.ru;;Общество с ограниченной ответственностью «Электротехническая компания»;"""1023000836836""";;"""0013.12-2009-3015042714-С-128""";
"""3017027574""";ООО «Энерготранс» ;Астрахань;;Генеральный директор;Курятников;Николай;Федорович;;Действует;;;07.02.2015;;12.04.2012;414041, Астраханская обл, Астрахань г, Зеленая ул, дом № 68 Б;414041, Астраханская обл, Астрахань г, Зеленая ул, дом № 68 Б;36-25-69;36-25-69;etrans@mail.ru;;Общество с ограниченной ответственностью «Производственно-промышленная компания «Энерготранс»;"""1023000842622""";;"""0014.05-2009-3017027574-С-128""";
"""3017031323""";ООО «Стройкомплекс» ;Астрахань;;Директор;Леванов;Василий;Владимирович;;Действует;;;07.02.2015;;11.03.2011;414021, Астраханская обл, Астрахань г, Боевая ул, дом № 119;414021, Астраханская обл, Астрахань г, Боевая ул, дом № 119;(88512) 302080,302188 301451,;30-20-80;scompany@mail.ru;;Общество с ограниченной ответственностью «Управляющая строительная компания «Стройкомплекс»;"""1023000816574""";;"""0015.05-2009-3017031323-С-128""";
"""3016028134""";ООО «Нижневолгоэлектромонтаж» ;Астрахань;;Генеральный директор;Иванов;Алексей;Николаевич;;Действует;;;07.02.2015;;14.08.2014;414041, Астраханская обл, Астрахань г, Рыбинская ул, дом № 13;414041, Астраханская обл, Астрахань г, Рыбинская ул, дом № 13;(851-2) 39-81-39, 398094,398141,;;sknvem@sknvem.ru;http://sknvem.ru/;Общество с ограниченной ответственностью «Нижневолгоэлектромонтаж»;"""1023000848188""";;"""0016.21-2009-3016028134-С-128""";
"""3017026644""";ООО «Скай» ;Астрахань;;Директор;Шабалин;Игорь;Юрьевич;;Действует;;;07.02.2015;;02.02.2012;414045, Астраханская обл, Астрахань г, Боевая ул, дом № 50 А;414045, Астраханская обл, Астрахань г, Боевая ул, дом № 50 А;401274;;astsky2006@rambler.ru;;Общество с ограниченной ответственностью «Многопрофильная фирма «Скай»;"""1023000823119""";;"""0017.07-2009-3017026644-С-128""";
"""3006002521""";ООО «Астраханьгазстрой» ;Астрахань;;Генеральный директор;Захаров;Сергей;Юрьевич;;Действует;;;07.02.2015;;28.03.2014;188300, Ленинградская область, г. Гатчина, ул. 7-й Армии, д.22;188300, Ленинградская область, г. Гатчина, ул. 7-й Армии, д.22;55-28-22,55-36-14,;;inform@astrakhangazstroy.ru;http://astrakhangazstroy.ru;Общество с ограниченной ответственностью «Астраханьгазстрой»;"""1023001538284""";;"""0020.07-2009-3006002521-С-128""";
"""0608007271""";ООО «Юг-Строй Сервис» ;Астрахань;;Генеральный директор;Бекмурзиев;Беслан;Хусейнович;;Действует;;;14.12.2014;;30.12.2010;386140, Ингушетия Респ, Назрань г, Насыр-Кортский МО тер, Вокзальная ул, дом № 25;386140, Ингушетия Респ, Назрань г, Насыр-Кортский МО тер, Вокзальная ул, дом № 25;;;agiev.ruslan@mail.ru;;Общество с ограниченной ответственностью «Юг-Строй Сервис»;"""1070608001970""";;"""0021.03-2009-0608007271-С-128""";
"""5012014825""";ЗАО «ДАР/ВОДГЕО» ;Астрахань;;Директор филиала;Максимова;Оксана;Васильевна;;Действует;;;30.09.2014;;24.04.2013;143980, Московская обл, Железнодорожный г, Гидрогородок ул, дом № 15;143980, Московская обл, Железнодорожный г, Гидрогородок ул, дом № 15;384-112,382-603 , доб. 384115-приемная;;аstrakhan@darvodgeo.ru;http://darvodgeo.ru;Закрытое акционерное общество «ДАР/ВОДГЕО»;"""1025001548516""";;"""0022.07-2009-5012014825-С-128""";
"""3015064901""";ООО «Электросетьсервис» ;Астрахань;;Директор;Босов;Александр;Николаевич;;Действует;;;07.02.2015;;16.04.2013;,414000,Астраханская обл,,Астрахань г,,Красная Набережная /Коммунистическая ул,38/20,;,414000,Астраханская обл,,Астрахань г,,Красная Набережная /Коммунистическая ул,38/20,;56-40-81,56-40-82;56-40-82;zawet1972@rambler.ru;;Общество с ограниченной ответственностью «Электросетьсервис»;"""1043000701193""";;"""0023.07-2009-3015064901-С-128""";
"""3017040529""";ООО «Пожарная безопасность» ;Астрахань;;Генеральный директор;Абдуллаев;Шамиль;Равильевич;;Действует;;;07.02.2015;;16.12.2010;414018, Астраханская обл, Астрахань г, Ковельская ул, дом № 4 А;414018, Астраханская обл, Астрахань г, Ковельская ул, дом № 4 А;35-55-55 35-11-86 ,59-19-70;;aik-electro@yandex.ru;;Общество с ограниченной ответственностью «Пожарная безопасность»;"""1043001826097""";;"""0024.02-2009-3017040529-С-128""";
"""3006006325""";ООО «Стройспецмонтаж» ;Астрахань;;Генеральный директор;Сафронов;Владимир;Николаевич;;Действует;;;03.11.2014;;13.06.2013;416154, Астраханская обл, Красноярский р-н, Аксарайский п, Степная ул, дом № 2;416154, Астраханская обл, Красноярский р-н, Аксарайский п, Степная ул, дом № 2;45-73-67;45-72-96;oooostssm@rambler.ru;;Общество с ограниченной ответственностью «Общестроительная фирма «Стройспецмонтаж»;"""1023001538933""";;"""0025.07-2009-3006006325-С-128""";
"""3016040565""";ООО «Вента» ;Астрахань;;Директор;Петров;Сергей;Анатольевич;;Действует;;;07.02.2015;;24.02.2014;414052, Астраханская обл, Астрахань г, Кооперативная пл, дом № 33/6;414052, Астраханская обл, Астрахань г, Кооперативная пл, дом № 33/6;(88512) 36-63-68 ,69-02-02;;venta@astranet.ru;http://astraventa.ru;Общество с ограниченной ответственностью «Производственно-коммерческая фирма «Вента»;"""1033001300243""";;"""0029.08-2009-3016040565-С-128""";
"""3017054433""";ООО «ИнжСтрой-15» ;Астрахань;;Генеральный директор;Горский;Сергей;Александрович;;Действует;;;19.05.2014;;21.04.2014;414000, г. Астрахань, ул. Ленина/ул. Мусы Джалиля/ул. Бабушкина, д.2/1/1, литер Б;414000, г. Астрахань, ул. Ленина/ул. Мусы Джалиля/ул. Бабушкина, д.2/1/1, литер Б;48-84-45;48-84-45;barmina_e@is15.ru;http://is15.ru;Общество с ограниченной ответственностью «ИнжСтрой-15»;"""1083017000109""";;"""0030.08-2009-3017054433-С-128""";
"""3016034120""";ОАО «Строитель Астрахани» ;Астрахань;;Генеральный директор;Султанбиев;Тавбузур;Эльбузарович;;Действует;;;27.12.2014;;31.10.2012;414041, Астраханская обл, Астрахань г, Рыбинская ул, дом № 17;414041, Астраханская обл, Астрахань г, Рыбинская ул, дом № 17;398133 398596 398131 398103 ,;;mail@astbuild.ru;http://astbuild.ru;Открытое акционерное общество «Производственно-строительная компания «Строитель Астрахани»;"""1023000831336""";;"""0031.07-2009-3016034120-С-128""";
"""3015076110""";ООО «Комстрой инвест» ;Астрахань;;Генеральный директор;Баранов;Василий;Васильевич;;Действует;;;07.02.2015;;28.04.2011;414000, Астраханская обл, Астрахань г, Набережная 1 Мая /Шаумяна ул, дом № 75/48, корпус офис, кв.514;414000, Астраханская обл, Астрахань г, Набережная 1 Мая /Шаумяна ул, дом № 75/48, корпус офис, кв.514;(851-2) 44-33-57,44-32-63ф,380788,;;invest@komstroi.com;http://komstroi.com;Общество с ограниченной ответственностью «Комстрой инвест»;"""1063015052176""";;"""0033.04-2009-3015076110-С-128""";
"""3018314571""";ООО «Энергогазстрой» ;Астрахань;;Генеральный директор;Лысенко;Евгений;Владимирович;;Действует;;;07.02.2015;;30.03.2011;414015, Астраханская обл, Астрахань г, Керченская 5-я ул, дом № 19;414015, Астраханская обл, Астрахань г, Керченская 5-я ул, дом № 19;(8512)25-23-06;;energogasstroy@mail.ru;;Общество с ограниченной ответственностью «Энергогазстрой»;"""1083023000279""";;"""0034.05-2009-3018314571-С-128""";
"""3017030873""";ООО «Электротехническая компания А и К» ;Астрахань;;Генеральный директор;Абдуллаев;Шамиль;Равильевич;;Действует;;;07.02.2015;;23.12.2010;414018, Астраханская обл, Астрахань г, Ковельская ул, дом № 4 А;414018, Астраханская обл, Астрахань г, Ковельская ул, дом № 4 А;355555 351186;;aik-electro@yandex.ru;;Общество с ограниченной ответственностью «Производственно-коммерческая фирма «Электротехническая компания «А и К»;"""1023000828520""";;"""0035.02-2009-3017030873-С-128""";
"""3015052889""";ООО «ОНИКС 2000» ;Астрахань;;Директор;Азизов;Рамазан;Кескинович;;Действует;;;07.02.2015;;28.10.2010;414004, Астраханская обл, Астрахань г, Зеленгинская 3-я ул, дом № 58 а;414004, Астраханская обл, Астрахань г, Зеленгинская 3-я ул, дом № 58 а;(8512) 611500,611532;61-15-00;info@oniks2000.ru;http://oniks2000.ru;Общество с ограниченной ответственностью «Многопрофильная фирма «Оникс-2000»;"""1033000801030""";;"""0036.02-2009-3015052889-С-128""";
"""3015002486""";ГПАО «ОРГТЕХСТРОЙ» ;Астрахань;;Директор;Сусликов;Юрий;Иванович;;Действует;;;07.02.2015;;11.02.2014;414000, Астраханская обл, Астрахань г, Ленина ул, дом № 20;414000, Астраханская обл, Астрахань г, Ленина ул, дом № 20;392950;39-29-50;orgtehstroy@astranet.ru;http://ots.stroy30.ru;Государственное предприятие Астраханской области «Проектно-технологический трест «Оргтехстрой»;"""1023000848903""";;"""0037.04-2009-3015002486-С-128""";
"""3017053768""";ООО «Строительные технологии» ;Астрахань;;Генеральный директор;Байкин;Ильдар;Исмаилович;;Действует;;;07.02.2015;;31.05.2012;414057, Астраханская обл, Астрахань г, Рождественского 1-й проезд, дом № 1 литер строения А;414057, Астраханская обл, Астрахань г, Рождественского 1-й проезд, дом № 1 литер строения А;(88512) 482780,,482811,482790;;director@fabricant.ru;http://ststroy.com;Общество с ограниченной ответственностью «Производственнно-коммерческая фирма «Строительные технологии»;"""1073017006468""";;"""0040.05-2009-3017053768-С-128""";
"""3015077643""";ООО «ХолодПромСтрой-Инжиниринг» ;Астрахань;;Генеральный директор;Балахонов;Иван;Викторович;;Действует;;;01.11.2014;;01.08.2013;414014, Астраханская обл, Астрахань г, Набережная Приволжского затона ул, дом № 22;414014, Астраханская обл, Астрахань г, Набережная Приволжского затона ул, дом № 22;390424 394149;;info@iceprom.ru;http://iceprom.ru;Общество с ограниченной ответственностью «ХолодПромСтрой-Инжиниринг»;"""1073015002543""";;"""0041.06-2009-3015077643-С-128""";
